Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0805_2012Metric",104.834590,-138.307438,-90.000000,top
"C2","100n","C_0805_2012Metric",104.555410,-149.462562,90.000000,top
"C3","100n","C_0805_2012Metric",74.805410,-149.362562,-90.000000,top
"C4","100n","C_0805_2012Metric",107.105380,-140.448680,-90.000000,top
"C5","100n","C_0805_2012Metric",149.467880,-116.323680,180.000000,top
"C6","100n","C_0805_2012Metric",127.674130,-116.373680,180.000000,top
"C7","100n","C_0805_2012Metric",116.105380,-130.448680,0.000000,top
"C8","100n","C_0805_2012Metric",123.105380,-130.448680,0.000000,top
"C9","100n","C_0805_2012Metric",128.292880,-142.098680,90.000000,top
"C10","100n","C_0805_2012Metric",115.605380,-152.448680,0.000000,top
"C11","22u","C_0805_2012Metric",146.905380,-144.748680,0.000000,top
"C12","22u","C_0805_2012Metric",151.355380,-144.748680,180.000000,top
"C13","100n","C_0805_2012Metric",122.605380,-152.448680,0.000000,top
"C14","100n","C_0805_2012Metric",74.805410,-139.212562,90.000000,top
"J1","Raspberry_Pi_2_3","PinSocket_2x20_P2.54mm_Vertical",66.105380,-119.448680,90.000000,top
"J2","PLCC68_plug","PLCC68_male_pins",149.150000,-152.100000,180.000000,top
"J3","Conn_01x02_Male","PinHeader_1x02_P2.54mm_Horizontal",69.700000,-141.300000,180.000000,top
"R1","4k7","R_0805_2012Metric",109.700000,-150.400000,90.000000,top
"R2","4k7","R_0805_2012Metric",107.500000,-150.410000,90.000000,top
"R3","0-100R","R_0805_2012Metric",149.130000,-131.550000,180.000000,top
"R4","0-100R","R_0805_2012Metric",113.300000,-127.400000,-90.000000,top
"U1","SN54CBTD3384","TSSOP-24_4.4x7.8mm_P0.65mm",133.980380,-119.179930,90.000000,top
"U2","SN74LVC16373","TSSOP-48_6.1x12.5mm_P0.5mm",82.805410,-149.412562,90.000000,top
"U3","SN74LVC16373","TSSOP-48_6.1x12.5mm_P0.5mm",96.805410,-138.912562,90.000000,top
"U4","EPM240T100","LQFP-100_14x14mm_P0.5mm",118.105380,-141.448680,0.000000,top
"U5","SN74LVC16373","TSSOP-48_6.1x12.5mm_P0.5mm",96.805410,-149.412562,90.000000,top
"U6","SN74LVC16373","TSSOP-48_6.1x12.5mm_P0.5mm",82.805410,-138.912562,90.000000,top
"U7","SN54CBTD3384","TSSOP-24_4.4x7.8mm_P0.65mm",155.830380,-119.186180,90.000000,top
"U8","LM1117-3.3","SOT-223-3_TabPin2",149.105380,-139.448680,0.000000,top
